"concert_type","concert_date","concert_title","concert_artist","repertoire_file","repertoire_title","repertoire_artist","repertoire_duration","download_link"
"PERFORMANCE","08 Feb 2009","Simon Rattle conducts Schumann’s “Paradise and the Peri”","Berliner Philharmoniker | Sir Simon Rattle","10-1","Robert Schumann Paradise and the Peri, op. 50 (97 min.)","Sally Matthews Soprano, Kate Royal Soprano, Andrew Staples Tenor, Bernarda Fink Contralto, Topi Lehtipuu Tenor, Christian Gerhaher Baritone, Rundfunkchor Berlin, Simon Halsey Chorus Master","01:37:32","https://world-vod.dchdns.net/hlss/dch/10-1/,h264_LOW_THREE,h264_HIGH,h264_VERY_HIGH_ONE,.mp4.urlset/master.m3u8"
"PERFORMANCE","08 Feb 2009","Simon Rattle conducts Schumann’s “Paradise and the Peri”","Berliner Philharmoniker | Sir Simon Rattle","10-2","Interview Simon Halsey talks about Schumann’s “Paradise and the Peri” (14 min.)","","00:14:53","https://world-vod.dchdns.net/hlss/dch/10-2/,h264_LOW_THREE,h264_HIGH,h264_VERY_HIGH_ONE,.mp4.urlset/master.m3u8"
"PERFORMANCE","04 Oct 2008","Semyon Bychkov conducts Richard Strauss’s “Alpine Symphony”","Berliner Philharmoniker | Semyon Bychkov","11-1","Detlev Glanert Theatrum bestiarum (24 min.)","","00:24:08","https://world-vod.dchdns.net/hlss/dch/11-1/,h264_LOW_THREE,h264_HIGH,h264_VERY_HIGH_ONE,.mp4.urlset/master.m3u8"
"PERFORMANCE","04 Oct 2008","Semyon Bychkov conducts Richard Strauss’s “Alpine Symphony”","Berliner Philharmoniker | Semyon Bychkov","11-2","Richard Strauss Eine Alpensinfonie (An Alpine Symphony), op. 64 (51 min.)","","00:51:37","https://world-vod.dchdns.net/hlss/dch/11-2/,h264_LOW_THREE,h264_HIGH,h264_VERY_HIGH_ONE,.mp4.urlset/master.m3u8"
"PERFORMANCE","07 Mar 2009","A Russian evening with Gustavo Dudamel and Viktoria Mullova","Berliner Philharmoniker | Gustavo Dudamel","12-1","Sergei Rachmaninov Isle of the Dead, op. 29 (23 min.)","","00:23:10","https://world-vod.dchdns.net/hlss/dch/12-1/,h264_LOW_THREE,h264_HIGH,h264_VERY_HIGH_ONE,.mp4.urlset/master.m3u8"
"PERFORMANCE","07 Mar 2009","A Russian evening with Gustavo Dudamel and Viktoria Mullova","Berliner Philharmoniker | Gustavo Dudamel","12-2","Igor Stravinsky Concerto en Ré for Violin and Orchestra (23 min.)","Viktoria Mullova Violin","00:23:58","https://world-vod.dchdns.net/hlss/dch/12-2/,h264_LOW_THREE,h264_HIGH,h264_VERY_HIGH_ONE,.mp4.urlset/master.m3u8"
"PERFORMANCE","07 Mar 2009","A Russian evening with Gustavo Dudamel and Viktoria Mullova","Berliner Philharmoniker | Gustavo Dudamel","12-3","Sergei Prokofiev Symphony No. 5 in B flat major, op. 100 (52 min.)","","00:52:13","https://world-vod.dchdns.net/hlss/dch/12-3/,h264_LOW_THREE,h264_HIGH,h264_VERY_HIGH_ONE,.mp4.urlset/master.m3u8"
"PERFORMANCE","07 Mar 2009","A Russian evening with Gustavo Dudamel and Viktoria Mullova","Berliner Philharmoniker | Gustavo Dudamel","12-4","Interview Gustavo Dudamel in conversation with Edicson Ruiz (18 min.)","","00:18:57","https://world-vod.dchdns.net/hlss/dch/12-4/,h264_LOW_THREE,h264_HIGH,h264_VERY_HIGH_ONE,.mp4.urlset/master.m3u8"
"PERFORMANCE","08 Nov 2008","A Brahms evening with Sir Simon Rattle and Lars Vogt","Berliner Philharmoniker | Sir Simon Rattle","13-1","Johannes Brahms Concerto for Piano and Orchestra No. 1 in D minor, op. 15 (52 min.)","Lars Vogt Piano","00:52:16","https://world-vod.dchdns.net/hlss/dch/13-1/,h264_LOW_THREE,h264_HIGH,h264_VERY_HIGH_ONE,.mp4.urlset/master.m3u8"
"PERFORMANCE","08 Nov 2008","A Brahms evening with Sir Simon Rattle and Lars Vogt","Berliner Philharmoniker | Sir Simon Rattle","13-2","Johannes Brahms Symphony No. 2 in D major, op. 73 (43 min.)","","00:43:08","https://world-vod.dchdns.net/hlss/dch/13-2/,h264_LOW_THREE,h264_HIGH,h264_VERY_HIGH_ONE,.mp4.urlset/master.m3u8"
"PERFORMANCE","10 May 2009","Kirill Petrenko conducts Beethoven and Elgar","Berliner Philharmoniker | Kirill Petrenko","14-1","Ludwig van Beethoven Concerto for Piano and Orchestra No. 3 in C minor, op. 37 (44 min.)","Lars Vogt Piano","00:44:28","https://world-vod.dchdns.net/hlss/dch/14-1/,h264_LOW_THREE,h264_HIGH,h264_VERY_HIGH_ONE,.mp4.urlset/master.m3u8"
"PERFORMANCE","10 May 2009","Kirill Petrenko conducts Beethoven and Elgar","Berliner Philharmoniker | Kirill Petrenko","14-2","Edward Elgar Symphony No. 2 in E flat major, op. 63 (54 min.)","","00:54:20","https://world-vod.dchdns.net/hlss/dch/14-2/,h264_LOW_THREE,h264_HIGH,h264_VERY_HIGH_ONE,.mp4.urlset/master.m3u8"
"PERFORMANCE","10 May 2009","Kirill Petrenko conducts Beethoven and Elgar","Berliner Philharmoniker | Kirill Petrenko","14-3","Interview Kirill Petrenko and Lars Vogt in conversation with Sarah Willis (8 min.)","","00:08:14","https://world-vod.dchdns.net/hlss/dch/14-3/,h264_LOW_THREE,h264_HIGH,h264_VERY_HIGH_ONE,.mp4.urlset/master.m3u8"
"PERFORMANCE","10 Oct 2008","A Mozart evening with Trevor Pinnock and Maria João Pires","Berliner Philharmoniker | Trevor Pinnock","15-1","Wolfgang Amadeus Mozart Symphony No. 25 in G minor, K. 183 (23 min.)","","00:23:06","https://world-vod.dchdns.net/hlss/dch/15-1/,h264_LOW_THREE,h264_HIGH,h264_VERY_HIGH_ONE,.mp4.urlset/master.m3u8"
"PERFORMANCE","10 Oct 2008","A Mozart evening with Trevor Pinnock and Maria João Pires","Berliner Philharmoniker | Trevor Pinnock","15-2","Wolfgang Amadeus Mozart Concerto for Piano and Orchestra No. 9 in E flat major, K. 271 “Jenamy” (36 min.)","Maria João Pires Piano","00:36:18","https://world-vod.dchdns.net/hlss/dch/15-2/,h264_LOW_THREE,h264_HIGH,h264_VERY_HIGH_ONE,.mp4.urlset/master.m3u8"
"PERFORMANCE","10 Oct 2008","A Mozart evening with Trevor Pinnock and Maria João Pires","Berliner Philharmoniker | Trevor Pinnock","15-3","Wolfgang Amadeus Mozart Symphony No. 40 in G minor, K. 550 (34 min.)","","00:34:55","https://world-vod.dchdns.net/hlss/dch/15-3/,h264_LOW_THREE,h264_HIGH,h264_VERY_HIGH_ONE,.mp4.urlset/master.m3u8"
"PERFORMANCE","11 Jan 2009","Zubin Mehta and Murray Perahia with works by Beethoven and Strauss","Berliner Philharmoniker | Zubin Mehta","16-1","Elliott Carter Three Illusions for orchestra (10 min.)","","00:10:39","https://world-vod.dchdns.net/hlss/dch/16-1/,h264_LOW_THREE,h264_HIGH,h264_VERY_HIGH_ONE,.mp4.urlset/master.m3u8"
"PERFORMANCE","11 Jan 2009","Zubin Mehta and Murray Perahia with works by Beethoven and Strauss","Berliner Philharmoniker | Zubin Mehta","16-2","Ludwig van Beethoven Concerto for Piano and Orchestra No. 4 in G major, op. 58 (44 min.)","Murray Perahia Piano","00:44:00","https://world-vod.dchdns.net/hlss/dch/16-2/,h264_LOW_THREE,h264_HIGH,h264_VERY_HIGH_ONE,.mp4.urlset/master.m3u8"
"PERFORMANCE","11 Jan 2009","Zubin Mehta and Murray Perahia with works by Beethoven and Strauss","Berliner Philharmoniker | Zubin Mehta","16-3","Richard Strauss Symphonia domestica, op. 53 (49 min.)","","00:49:06","https://world-vod.dchdns.net/hlss/dch/16-3/,h264_LOW_THREE,h264_HIGH,h264_VERY_HIGH_ONE,.mp4.urlset/master.m3u8"
"PERFORMANCE","11 Jan 2009","Zubin Mehta and Murray Perahia with works by Beethoven and Strauss","Berliner Philharmoniker | Zubin Mehta","16-4","Interview Zubin Mehta in conversation with Tobias Möller (7 min.)","","00:07:34","https://world-vod.dchdns.net/hlss/dch/16-4/,h264_LOW_THREE,h264_HIGH,h264_VERY_HIGH_ONE,.mp4.urlset/master.m3u8"
