"concert_type","concert_date","concert_title","concert_artist","repertoire_file","repertoire_title","repertoire_artist","repertoire_duration"
"EDUCATION","15 Dec 2019","Christmas concert: “Merry QUIZmas!”","Winds of the Berliner Philharmoniker","52651-1","Merry QUIZmas (81 min.)","Sarah Willis horn and presenter, Malte Arkona presentation","01:21:09"
"EDUCATION","12 May 2019Education choir project","Education choir project with the Vocal Heroes","Vocal Heroes | Simon Halsey","52033-1","Jonathan Dove There Was a Child for solo voices, adult and childrenʼs choruses and orchestra (57 min.)","Project participants, Vocal Heroes Youth Choir, Members of the Berliner Philharmoniker and guests, Toby Spence tenor, Anna Henckel-Donnersmarck video design, Simon Halsey musical direction","00:57:05"
"EDUCATION","02 Dec 2018","Christmas Concert “Winter Drummerland”","Percussionists of the Berliner Philharmoniker and guests","51962-1","Winter Drummerland (70 min.)","Sarah Willis concept, horn and presenter","01:10:00"
"EDUCATION","18 May 2018","Sing along and have fun!","Members of the Berliner Philharmoniker","51699-1","Vocal Heroes Sing-Along Concert (61 min.)","Vocal Heroes, Carolin Strecker chorus master, Tobias Walenciak chorus master, Johannes Wolff chorus master, Mark Wyand saxophone and clarinet, Peter Schindler piano, Arne Jansen guitar, Esko Laine double bass, Franz Schindlbeck drums","01:01:27"
"EDUCATION","18 Feb 2018Family Concert","Family Concert: children’s opera “Knight Parceval”","Members of the Berliner Philharmoniker","51482-1","Henrik Albrecht Children’s Opera Ritter Parceval − Music by Henrik Albrecht after Motifs of Richard Wagner (79 min.)","Vocal soloists from Baden-Württemberg music colleges, Stanley Dodds direction, Karajan Academy, Alina Wunderlin soprano, Flurina Stucki soprano, Elisabeth Birgmeier soprano, Marcel Brunner bass baritone, Johannes Mooser baritone, Kirsten Uttendorf stage direction, Nora Lau costumes","01:19:27"
"EDUCATION","03 Dec 2017","An invitation from the Vocal Heroes: Singalong Christmas concert","Members of the Berliner Philharmoniker","51364-1","Vocal Heroes Sing-Along Concert for Advent (63 min.)","Vocal Heroes, Carolin Strecker chorus master, Tobias Walenciak chorus master, Johannes Wolff chorus master, Bürger Lars Dietrich presentation, Roman Vinuesa arrangement, Peter Häublein arrangement, Jelka Weber flute, Martin Stegner viola, Mark Wyand saxophone and clarinet, Otwin Zipp trombone and tuba, Kai Brückner guitar, Raphael Haeger piano, Gunars Upatnieks double bass, Franz Schindlbeck drums, Vincent Vogel drums","01:03:10"
"EDUCATION","18 Jun 2017Vocal Heroes choir project","Vocal Heroes choir project: “A Trip to the Moon”","Sir Simon Rattle","23519-1","Andrew Norman A Trip to the Moon (première) (77 min.)","Vocal Heroes, Ela Baumann Stage Direction, Simon Halsey Chorus Master","01:17:45"
"EDUCATION","06 Mar 2017Vocal Heroes choir project","An invitation from the Vocal Heroes: Spring singalong concert","Vocal Heroes | Simon Halsey","23870-1","Spring Singalong Concert (70 min.)","Vocal Heroes","01:10:53"
"EDUCATION","28 Jan 2017School Orchestra Extravaganza","Simon Rattle conducts Berlin school orchestras","Members of Berlin school orchestras | Sir Simon Rattle","23837-1","Works by Leonard Bernstein, John Adams and Antonín Dvořák (59 min.)","","00:59:23"
"EDUCATION","04 Dec 2016Family Christmas Concert","Christmas Concert: Ho, Ho, Horn!","Horns of the Berliner Philharmoniker","23819-1","Ho, Ho, Horn! (71 min.)","Sarah Willis Presentation and Concept, Franz Schindlbeck Percussion","01:11:13"
